%s %s;%s %s
%s Date;%s Dato
%s Deviation;%s Avviket
%s Info;%s Info
%s List;%s Liste
%s Measure;%s Tiltak
%s No;%s Nr
%s Reason;%s &Aringrsak
%s Type;%s Type
;Pusse tennene
;Velg navn her!
Action;Handling
Active %s;Aktive %s
Active;Aktiv
Activities that only takes place certain weekdays;Aktiviteter som bare<br />foregår enkelte ukedager
Activities that take place less than once a week;Aktiviteter som foregår<br />sjeldnere enn en gang i uken
Add %s(s);Legg til %s(er)
Additional Information;Tillegsinformasjon
Additional;Tillegs
Address List;Adresseliste
Address;Adresse
Advances in treatment and challenges ahead;Fremskritt i behandling og utfordringer videre
All observations in graph;Alle observasjoner i graf
All observations in list;Alle observasjoner i liste
All;Alle
Archive;Arkiver
Archived %s;Arkiverte %s
Attachment to scorecard plan;"Vedlegg til m&aring;lstyringsplanen"
Available;Ledige
Avvik No;Avvik nr
Avvik Type Here!;Avvikstype Her!
Avvik Type;Avvikstype
Avvik;Avvik
BIRK.;BIRK.
Cancel;Avbryt
Capacity;Kapasitet
Change;Endre
Checklist;Skjekkliste
Child Welfare;Barnevern
Client Information;Klientopplysninger
Client;Klient
Clients;Klienter
"Coercion Report undergone with departmental and youth, and then sent (first overlapping after the event);Tvangsrapporter gjennomgått med avdelingsleder og ungdom, og deretter sendt (første overlapp etter hendelsen)";
Completed;Oppnådd
Conducted;Gjennomført
County/State;Fylke
Create %s;Opprett %s
Create;Opprett
Current Client;Aktuell klient
Date %s;Dato %s
Date of Join;Dato inn
Date;Dato
date;dato
Dated;datert
Decided Corrective;Besluttet korrigerende
Decision;Vedtak
Delete %s(s);Slett %s(er)
Delete;Slett
Department Leader;Avdelingsleder
Department;Avdeling
Describe Deviation;Beskriv avviket
Describe;Beskriv
Description of activities;Beskrivelse av akriviteter
Description;Beskriv
Doc Name;Doc navn
Doc Type;Doc type
Documents;Dokumenter
Draggable Events;Draggable Events
Edit;Rediger
Education;Utdannelse
Email;E-post
End;Slutt
Expertise;Ekspertise
Finished;Ferdig
First Name;Fornavn
Force;Tvang
Forced Protocol;Tvangsprotokoll
Friday;Fredag
From and To Date:;Dato fra og til:
From Date;Fra Dato
From Department;Fra avdeling
from;fra
From;Fra
Fullfil;Fullf&oslashrte
Future Measure;Fremtid Tiltak
Future;Fremtid
Goal from the Measurements;M&aringl fra tiltaksplanen
Goal;Mål
Government Measure;L&oslashpende Tiltak
Government;Løpende
Graph;Graf
He has a day care;Vedkommende har et dagtilbud
Here!;Her!
History;Historikk
Home;Hjem
ID;ID
"Identify relevant practical needs relation that she lives in a separate apartment, boututstyr, furniture, etc.;Kartlegge vedkommende praktiske behov ift at hun bor i egen leilighet, boututstyr, m&oslashbler, osv";
In;Inn
Institute Measure;Korttids Tiltak
Institute;Korttids
Investigation;Utredning
Join;Ansatt
Last Name;Etternavn
Legal Placement;Plasseringshjemmel
Legal;Hjemmel
List Information;liste informasjon
Location;Lokasjon
Location;Sted
Lock and Archives Security Report;Lås og arkiver vaktrapport
Lock and Archives;Lås og arkiver
Log Out;Logg ut
Log Type Here!;Loggtype Her!
Log;Logg
M.T.O;M.T.O
Mapping Template;Kartleggingsmal
Mapping;Kartlegging
Measure from scorecard plan;M&aringl fra m&aringlstyringsplanen
Measure;Tiltak
Measurement %s;Tiltaksplan %s
Measurement;Tiltaksplan
